Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
young	1207	YOUNG	adjective	19
circle	1467	CIRCLE	noun	19
easy	686	EASY	adjective	19
raise	2134	RAISE (BRING UP)	verb	19
rich	712	RICH	adjective	19
emerge	1076	EMERGE (APPEAR)	verb	19
thought	2975	THOUGHT	noun	19
peace	1338	PEACE	noun	19
slice	2954	SLICE	noun	19
everything	98	ALL	other	19
build	1840	BUILD	verb	19
feel	1079	FEEL	verb	19
conceive	1087	CONCEIVE	verb	19
set	160	SET (HEAVENLY BODIES)	verb	19
above	1741	ABOVE	other	19
order	1128	ORDER	verb	19
horn	1393	HORN (ANATOMY)	noun	19
relative	1644	RELATIVES	noun	19
recognize	2870	RECOGNIZE (SOMEBODY)	verb	19
meaning	2950	MEANING	noun	19
felt	325	FELT	noun	19
sometimes	1544	SOMETIMES	other	19
burden	1679	LOAD	noun	19
year	1226	YEAR	noun	19
amount	2987	AMOUNT	noun	19
change	1264	CHANGE	verb	19
spread	38	SPREAD OUT	verb	19
divide	1119	DIVIDE	verb	19
cover	761	COVER	verb	19
early	672	EARLY	adjective	19
measure	1506	MEASURE	verb	19
frequently	1852	OFTEN	other	19
plant	653	PLANT (VEGETATION)	noun	19
high	1265	HIGH	adjective	19
simple	686	EASY	adjective	19
bill	1081	BILL	noun	19
month	1370	MONTH	noun	19
small	1246	SMALL	adjective	19
electricity	59	ELECTRICITY	noun	19
bed	1663	BED	noun	19
joy	2524	JOY	noun	19
husband	1200	HUSBAND	noun	19
wife	1199	WIFE	noun	19
theirs	2400	THEIR	other	19
certain	509	CERTAIN	adjective	19
meek	1954	GENTLE	adjective	19
release	1095	LET GO OR SET FREE	verb	19
area	2980	AREA	noun	19
produce	2886	PRODUCE	verb	19
sap	345	SAP	noun	19
affair	2214	AFFAIR	noun	19
well	954	WELL	noun	19
open	1156	OPEN	verb	19
health	1364	HEALTHY	adjective	19
buy	1869	BUY	verb	19
last	1529	LAST (FINAL)	other	19
prison	1281	PRISON	noun	19
divorce	1134	DIVORCE	noun	19
island	622	ISLAND	noun	19
tired	1757	TIRED	adjective	19
cook	1100	COOK (SOMETHING)	verb	19
wash	1453	WASH	verb	19
dish	481	DISH	noun	19
bath	138	BATHE	verb	19
money	1559	MONEY	noun	19
girl	1646	GIRL	noun	19
urge	2881	URGE (SOMEONE)	verb	19
man	1554	MAN	noun	19
don't	813	DO	verb	19
boat	1844	BOAT	noun	19
blame	381	BLAME	noun	19
pay	718	PAY	verb	19
tremble	52	SHIVER	verb	19
night	1233	NIGHT	noun	19
figure	1945	IDOL	noun	19
suddenly	2920	SUDDENLY	other	19
master	383	MASTER	noun	19
male	1553	MALE	adjective	19
strength	202	STRENGTH	noun	19
late	477	LATE	other	19
sphere	1845	BALL	noun	19
marketplace	633	MARKET	noun	19
