('1234', '1393', 0.9763305187225342)
('1234', '481', 0.9717177748680115)
('1234', '2911', 0.9742028117179871)
('1234', '1302', 0.9717797636985779)
('1234', '1398', 0.9752363562583923)
('1234', '2149', 0.9807332158088684)
('1234', '874', 0.9714995622634888)
('1234', '1388', 0.9703832268714905)
('1234', '2932', 0.9757269620895386)
('1234', '2998', 0.9739120006561279)
('1234', '629', 0.9778094291687012)
('1234', '318', 0.9776032567024231)
('1234', '1671', 0.9750909209251404)
('1234', '1188', 0.9725618362426758)
('1234', '1394', 0.9783502817153931)
('1234', '1220', 0.9762834906578064)
('1234', '273', 0.977053701877594)
('1234', '121', 0.9790711998939514)
('1234', '1793', 0.973746657371521)
('1234', '911', 0.9754592180252075)
('1234', '476', 0.9737452864646912)
('1234', '1462', 0.9788113236427307)
('1234', '1647', 0.9735298156738281)
('1234', '640', 0.9792968034744263)
('1234', '945', 0.9714064598083496)
('1234', '378', 0.9777352213859558)
('1234', '44', 0.9737290143966675)
('1234', '1719', 0.9723665714263916)
('1234', '2058', 0.9760506749153137)
('1234', '1316', 0.9714688062667847)
('1192', '861', 0.9761227965354919)
('1192', '2947', 0.9855038523674011)
('1954', '522', 0.9738393425941467)
('1954', '2888', 0.9728525280952454)
('621', '834', 0.9744883179664612)
('621', '759', 0.9744873046875)
('621', '713', 0.9723677635192871)
('621', '1633', 0.9721236824989319)
('621', '227', 0.9700384140014648)
('621', '362', 0.9718084931373596)
('621', '1007', 0.9709904789924622)
('621', '2819', 0.9714342951774597)
('621', '1201', 0.9764876365661621)
('621', '617', 0.9802548289299011)
('621', '744', 0.978687047958374)
('621', '1381', 0.9722983241081238)
('621', '1400', 0.9757125973701477)
('621', '378', 0.9774296283721924)
('621', '635', 0.9735126495361328)
('621', '1183', 0.9738837480545044)
('621', '1160', 0.9745240807533264)
('621', '2058', 0.9728689193725586)
('621', '342', 0.9722229242324829)
('1115', '3303', 0.9750505685806274)
('1115', '1490', 0.9733444452285767)
('1115', '952', 0.9720205068588257)
('754', '791', 0.970525324344635)
