Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
need	2339	NEED (SOMETHING)	other	19
low	721	LOW	adjective	19
level	3469	LEVEL	noun	19
just	84	JUST	other	19
true	1657	TRUE	adjective	19
character	1024	CHARACTER	noun	19
whole	2277	WHOLE	adjective	19
god	3231	DEITY	noun	19
active	1861	ACTIVE	adjective	19
total	2277	WHOLE	adjective	19
gather	7	GATHER	verb	19
share	884	SHARE	verb	19
common	102	COMMON COLD (DISEASE)	noun	19
idea	1609	IDEA	noun	19
mistake	1293	MISTAKE	noun	19
sacred	1702	HOLY	adjective	19
priest	852	PRIEST	noun	19
faith	1890	BELIEVE	verb	19
altar	853	ALTAR	noun	19
kind	3299	KIND	adjective	19
fall	1280	FALL	verb	19
below	1485	BELOW OR UNDER	other	19
depth	2534	DEPTH	noun	19
building	3396	BUILDING	noun	19
body	1480	BODY	noun	19
necessary	1030	NECESSARY	other	19
nearby	1942	NEAR	adjective	19
alone	1964	ALONE	adjective	19
second	1384	SECOND	other	19
glass	604	GLASS	noun	19
distant	1406	FAR	adjective	19
keep	1477	KEEP	verb	19
stir	696	STIR	verb	19
large	1202	BIG	adjective	19
eye	1248	EYE	noun	19
town	1391	TOWN	noun	19
escape	1615	ESCAPE	verb	19
picture	2401	PICTURE	noun	19
her	2474	HER (GENITIVE OF SHE)	noun	19
she	1834	SHE	other	19
east	1877	EAST	noun	19
south	1595	SOUTH	noun	19
lose	3072	MISPLACE	verb	19
nothing	687	NOTHING	other	19
lead	43	LEAD (GUIDE)	verb	19
serve	3648	SERVE (SOMEONE)	verb	19
family	194	FAMILY	noun	19
ninety	1724	NINETY	numeral	19
pour	1487	POUR	verb	19
interest	2062	INTEREST	noun	19
gap	2948	GAP (DISTANCE)	noun	19
grow	479	GROW	verb	19
number	1356	NUMBER	noun	19
beautiful	1427	BEAUTIFUL	adjective	19
music	642	MUSIC	noun	19
woman	962	WOMAN	noun	19
under	1485	BELOW OR UNDER	other	19
heavy	1210	HEAVY	adjective	19
strain	940	STRAIN	verb	19
sick	1847	SICK	adjective	19
help	1897	HELP	verb	19
draw	2001	PAINTING	verb	19
young	1207	YOUNG	adjective	19
circle	1467	CIRCLE	noun	19
easy	686	EASY	adjective	19
sight	2519	SEEING (VISUAL SENSE)	noun	19
raise	2134	RAISE (BRING UP)	verb	19
rich	712	RICH	adjective	19
emerge	1076	EMERGE (APPEAR)	verb	19
thought	2975	THOUGHT	noun	19
